n,n.neg,p,or,r,alpha,n.sim,prop.drivers,n.pos
2400,240,0.5,1.25,0.25,0.005,50,0.342,1129
2400,360,0.5,1.25,0.25,0.005,50,0.432,1124
2400,480,0.5,1.25,0.25,0.005,50,0.598,1133
2400,600,0.5,1.25,0.25,0.005,50,0.622,1131
2400,720,0.5,1.25,0.25,0.005,50,0.646,1129
2400,840,0.5,1.25,0.25,0.005,50,0.692,1136
2400,960,0.5,1.25,0.25,0.005,50,0.7,1129
2400,1080,0.5,1.25,0.25,0.005,50,0.698,1126
2400,1200,0.5,1.25,0.25,0.005,50,0.728,1134
2400,240,0.5,1.5,0.25,0.005,50,0.728,1097
2400,360,0.5,1.5,0.25,0.005,50,0.792,1099
2400,480,0.5,1.5,0.25,0.005,50,0.838,1097
2400,600,0.5,1.5,0.25,0.005,50,0.832,1100
2400,720,0.5,1.5,0.25,0.005,50,0.84,1095
2400,840,0.5,1.5,0.25,0.005,50,0.864,1090
2400,960,0.5,1.5,0.25,0.005,50,0.9,1094
2400,1080,0.5,1.5,0.25,0.005,50,0.892,1103
2400,1200,0.5,1.5,0.25,0.005,50,0.906,1092
2400,240,0.5,1.75,0.25,0.005,50,0.83,1083
2400,360,0.5,1.75,0.25,0.005,50,0.882,1082
2400,480,0.5,1.75,0.25,0.005,50,0.9,1081
2400,600,0.5,1.75,0.25,0.005,50,0.916,1079
2400,720,0.5,1.75,0.25,0.005,50,0.932,1089
2400,840,0.5,1.75,0.25,0.005,50,0.946,1087
2400,960,0.5,1.75,0.25,0.005,50,0.962,1083
2400,1080,0.5,1.75,0.25,0.005,50,0.962,1078
2400,1200,0.5,1.75,0.25,0.005,50,0.956,1074
2400,240,0.5,2,0.25,0.005,50,0.884,1079
2400,360,0.5,2,0.25,0.005,50,0.91,1069
2400,480,0.5,2,0.25,0.005,50,0.928,1074
2400,600,0.5,2,0.25,0.005,50,0.96,1068
2400,720,0.5,2,0.25,0.005,50,0.966,1075
2400,840,0.5,2,0.25,0.005,50,0.974,1073
2400,960,0.5,2,0.25,0.005,50,0.986,1069
2400,1080,0.5,2,0.25,0.005,50,0.976,1070
2400,1200,0.5,2,0.25,0.005,50,0.982,1071
