n.screened,n.neg,p,or,r,alpha,n.sim,prop.drivers,n.pos
2400,240,0.5,1.25,0.25,0.005,1000,0.3353,1130
2400,360,0.5,1.25,0.25,0.005,1000,0.4653,1131
2400,480,0.5,1.25,0.25,0.005,1000,0.5492,1130
2400,600,0.5,1.25,0.25,0.005,1000,0.6136,1130
2400,720,0.5,1.25,0.25,0.005,1000,0.6551,1130
2400,840,0.5,1.25,0.25,0.005,1000,0.6875,1131
2400,960,0.5,1.25,0.25,0.005,1000,0.7081,1130
2400,1080,0.5,1.25,0.25,0.005,1000,0.726,1131
2400,1200,0.5,1.25,0.25,0.005,1000,0.7396,1130
2400,240,0.5,1.5,0.25,0.005,1000,0.7319,1096
2400,360,0.5,1.5,0.25,0.005,1000,0.7936,1097
2400,480,0.5,1.5,0.25,0.005,1000,0.8228,1097
2400,600,0.5,1.5,0.25,0.005,1000,0.8395,1096
2400,720,0.5,1.5,0.25,0.005,1000,0.8649,1097
2400,840,0.5,1.5,0.25,0.005,1000,0.8706,1097
2400,960,0.5,1.5,0.25,0.005,1000,0.8878,1097
2400,1080,0.5,1.5,0.25,0.005,1000,0.8998,1096
2400,1200,0.5,1.5,0.25,0.005,1000,0.9067,1097
2400,240,0.5,1.75,0.25,0.005,1000,0.829,1080
2400,360,0.5,1.75,0.25,0.005,1000,0.871,1080
2400,480,0.5,1.75,0.25,0.005,1000,0.902,1082
2400,600,0.5,1.75,0.25,0.005,1000,0.923,1081
2400,720,0.5,1.75,0.25,0.005,1000,0.933,1081
2400,840,0.5,1.75,0.25,0.005,1000,0.9487,1081
2400,960,0.5,1.75,0.25,0.005,1000,0.9556,1080
2400,1080,0.5,1.75,0.25,0.005,1000,0.9615,1080
2400,1200,0.5,1.75,0.25,0.005,1000,0.969,1082
2400,240,0.5,2,0.25,0.005,1000,0.8744,1072
2400,360,0.5,2,0.25,0.005,1000,0.92,1073
2400,480,0.5,2,0.25,0.005,1000,0.9417,1072
2400,600,0.5,2,0.25,0.005,1000,0.9612,1072
2400,720,0.5,2,0.25,0.005,1000,0.972,1071
2400,840,0.5,2,0.25,0.005,1000,0.9777,1071
2400,960,0.5,2,0.25,0.005,1000,0.9809,1072
2400,1080,0.5,2,0.25,0.005,1000,0.9837,1070
2400,1200,0.5,2,0.25,0.005,1000,0.9888,1071
