n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
2400,25,0.1,2.73,1.25,0.25,0.0125,25,96,0.03,1.07071
2400,50,0.1,2.73,1.25,0.25,0.0125,25,48,0.065,0.69143
2400,100,0.1,2.73,1.25,0.25,0.0125,25,24,0.105,0.47103
2400,25,0.5,2.73,1.25,0.25,0.0125,25,96,0.075,0.99243
2400,50,0.5,2.73,1.25,0.25,0.0125,25,48,0.06,0.64822
2400,100,0.5,2.73,1.25,0.25,0.0125,25,24,0.105,0.44682
2400,25,0.1,2.73,1.5,0.25,0.0125,25,96,0.105,1.10561
2400,50,0.1,2.73,1.5,0.25,0.0125,25,48,0.165,0.6901
2400,100,0.1,2.73,1.5,0.25,0.0125,25,24,0.31,0.48551
2400,25,0.5,2.73,1.5,0.25,0.0125,25,96,0.11,1.08414
2400,50,0.5,2.73,1.5,0.25,0.0125,25,48,0.235,0.66312
2400,100,0.5,2.73,1.5,0.25,0.0125,25,24,0.345,0.46171
2400,25,0.1,2.73,1.75,0.25,0.0125,25,96,0.175,1.06933
2400,50,0.1,2.73,1.75,0.25,0.0125,25,48,0.38,0.69141
2400,100,0.1,2.73,1.75,0.25,0.0125,25,24,0.61,0.4924
2400,25,0.5,2.73,1.75,0.25,0.0125,25,96,0.25,1.07487
2400,50,0.5,2.73,1.75,0.25,0.0125,25,48,0.415,0.67106
2400,100,0.5,2.73,1.75,0.25,0.0125,25,24,0.605,0.45732
2400,25,0.1,2.73,2,0.25,0.0125,25,96,0.29,1.0837
2400,50,0.1,2.73,2,0.25,0.0125,25,48,0.51,0.68384
2400,100,0.1,2.73,2,0.25,0.0125,25,24,0.805,0.50934
2400,25,0.5,2.73,2,0.25,0.0125,25,96,0.35,1.01847
2400,50,0.5,2.73,2,0.25,0.0125,25,48,0.525,0.69203
2400,100,0.5,2.73,2,0.25,0.0125,25,24,0.84,0.46563
